rt,rt
ah,ah
why,why
sub,sub
ozil,ozil
opolo,opolo
eyes,eyes
u,you
no,no
fit,fit
open,open
eyes,eyes
cantik,cantik
rt,rt
julie,julie
christie,christie
photograph,photograph
by,by
richard,richard
avedon,avedon
and,and
you,you
didnt,didn't
make,make
this,this
brah,brother
my,my
friend,friend
jack,jack
storm,storm
did,did
syempre,syempre
in,in
the,the
right,right
age,age
hahaha,hahaha
shit,shit
rockin,rocking
go,go
head,head
show,show
that,that
to,to
bria,bria
rt,rt
words,words
that,that
describe,describe
exo,exo
luhan,luhan
is,is
pain,pain
chanyeol,chanyeol
is,is
sex,sex
sehun,sehun
is,is
porn,porn
cause,because
i,i
said,said
you,you
been,been
falling,falling
right,right
along,along
with,with
me,me
haha,haha
okay,okay
well,well
at,at
least,least
i,i
know,know
the,the
other,other
blog,blog
you've,you've
been,been
dying,dying
to,to
hide,hide
usa,usa
spalding,spalding
nba,nba
street,street
by,by
spalding,spalding
investissement,investissement
a,a
cape,cape
coral,coral
murs,murs
chinois,chinois
chinese,chinese
drywall,drywall
via,via
ight,alright
like,like
of,of
what,what
nigga,nigger
galeris,galeris
usa,use
a,a
tag,tag
n,and
custa,custand
nd,nd
zoom,zoom
in,in
2,to
c,see
an,an
sekret,secret
mesage,message
you,you
will,will
appreciate,appreciate
this,this
rt,rt
guys,guys
that,that
picture,picture
of,of
zayn,zayn
is,is
old,old
and,and
also,also
you,you
can,can
see,see
niall,niall
standing,standing
next,next
to,to
him,him
like,like
he,he
wouldn't,wouldn't
be,be
in,in
the,the
crowd,crowd
haha,haha
rt,rt
niall,niall
on,on
stage,stage
at,at
croke,croke
park,park
dublin,dublin
rt,rt
exclusive,exclusive
footage,footage
of,of
vincent,vincent
kompany,kompany
going,going
up,up
to,to
yaya,yaya
toure,toure
after,after
telling,telling
him,him
he,he
was,was
leaving,leaving
rt,rt
luke,luke
today,today
via,via
kylie,kylie
g,g
stylist,stylist
sorry,sorry
bout,about
the,the
wait,wait
homie,homie
but,but
check,check
your,your
when,when
you,you
get,get
the,the
chance,chance
guess,guess
who,who
i'm,i'm
cosplaying,cosplaying
it's,it's
shit,shit
but,but
still,still
as,as
at,at
comicon,comicon
woah,wow
i,i
know,know
this,this
song,song
oppa,oppa
one,one
of,of
my,my
favourite,favorite
songs,songs
asu,asu
wa,wa
kuru,kuru
kara,kara
jimin,jimin
is,is
it,it
okay,okay
if,if
i,i
asked,asked
for,for
angpaos,angpaos
jungkook,jungkook
does,does
this,this
look,look
make,make
aunty,aunty
and,and
uncle,uncle
happy,happy
for,for
bigger,bigger
angpao,angpao
alpukat,alpukat
madu,madu
yummy,yummy
manis,manis
banget,banget
i,i
like,like
this,this
rt,rt
yall,y'all
so,so
worried,worried
about,about
the,the
fact,fact
zayn,zayn
was,was
smoking,smoking
weed,weed
he,he
wasnt,wasn't
even,even
wearing,wearing
a,a
seat,seat
belt,belt
rt,rt
eminado,eminado
means,means
